address,latitude,longitude,name,province
800 N Canal Blvd,29.814697,-90.81474200000001,SONIC Drive In,LA
800 N Canal Blvd,29.814697,-90.81474200000001,SONIC Drive In,LA
206 Wears Valley Rd,35.803788,-83.58055300000001,Taco Bell,TN
3652 Parkway,35.782339,-83.551408,Arby's,TN
2118 Mt Zion Parkway,33.562738,-84.321143,Steak 'n Shake,GA
9768 Grand River Ave,42.368823,-83.138251,Wendy's,MI
13600 W McNichols Rd,42.416819,-83.180444,Burger King,MI
4111 Oceanside Blvd,33.205721999999994,-117.28864499999999,Chipotle Mexican Grill,CA
162 Old Country Rd,40.937359,-72.650142,7-Eleven,NY
1407 S Stockton Ave,31.580721,-102.89145500000001,Dairy Queen,TX
208 W Mason St,32.36602,-96.103364,Dairy Queen,TX
5801 Highway 6,29.570078999999996,-95.568166,Dairy Queen,TX
3454 Manchester Rd,41.005682,-81.555774,Mr. Hero,OH
1500 E Main St,32.401088,-98.790162,Golden Chick,TX
1190 W Foothill Blvd,34.133291,-117.924566,Carl's Jr,CA
601 N Main St,33.026571999999994,-80.169733,Checkers,SC
1927 Woodville Road,41.627297999999996,-83.502436,Rally's,OH
6316 W 89th St,33.955923,-118.39644299999999,Togo's,CA
3105 Highway 80 E,32.282328,-90.11676999999999,Rally's,MS
2860 E Paris Ave SE,42.91147,-85.56812,Checkers,MI
2424 E State Road 44,39.523703999999995,-85.743659,Rally's,IN
1611 Broadway,40.685506,-73.914457,Checkers,NY
1720 Walton Way,33.475291999999996,-81.99594599999999,Checkers,GA
17620 Grand River Ave,42.400037,-83.21574,Checkers,MI
196 Massachusetts Ave,42.405651,-71.14211999999999,Little Q Hot Pot,MA
1224 State St,42.79792,-73.924364,McDonald's,NY
1232 Ulster Ave,41.967079,-73.98858299999999,McDonald's,NY
1188 Avenue of The Americas,40.757558,-73.98167099999999,McDonald's,NY
114 Delancey St,40.718942999999996,-73.98830600000001,McDonald's,NY
1050 Front St,40.709646,-73.591453,McDonald's,NY
105 Jericho Tpke,40.780233,-73.55934,McDonald's,NY
105 Jericho Tpke,40.780233,-73.55934,McDonald's,NY
106 Wolf Rd,42.716812,-73.80931899999999,McDonald's,NY
101 E 170th St,40.839569,-73.915927,McDonald's,NY
103 Brookview Dr,42.741061,-73.913673,McDonald's,NY
1028 Mckinley Pkwy,42.857898999999996,-78.825089,McDonald's,NY
10 Main St,43.021019,-78.878167,McDonald's,NY
300 Mishawum Rd,42.503903,-71.13274799999999,McDonald's,MA
1190 Providence Rd,42.125526,-71.64591300000001,McDonald's,MA
212 Main St,42.557448,-71.181499,McDonald's,MA
44 E Main St,42.055826,-71.873999,McDonald's,MA
789 Main St,42.376247,-71.241667,McDonald's,MA
20 Main St,42.650503,-71.662674,McDonald's,MA
595 Main St,42.157222,-71.243549,McDonald's,MA
282 Winthrop St,41.88896,-71.120789,McDonald's,MA
660 Liberty St,42.12193,-72.584242,McDonald's,MA
360 Main St,42.091561,-72.579647,McDonald's,MA
2392 Main St,42.111552,-72.603359,McDonald's,MA
1402 Allen St,42.095053,-72.512539,McDonald's,MA
1610 Boston Rd,42.142989,-72.48923,McDonald's,MA
59 W Main St,42.23341,-72.012516,McDonald's,MA
59 W Main St,42.23341,-72.012516,McDonald's,MA
1433 SW 107th Ave,25.754984,-80.36805799999999,Five Guys,FL
1601 W Kirby St,33.007329,-96.55412700000001,Taco Bell,TX
7425 S Broadway Ave,32.274786,-95.30675699999999,Taco Bell,TX
100 Business Loop 70 E,38.964944,-92.336364,Burger King,MO
615 Martin Luther King Jr Blvd,32.070343,-81.10103199999999,Wendy's,GA
1123 Roswell Rd,33.95111,-84.518962,Wendy's,GA
273 Keys Ferry St,33.446887,-84.138326,Wendy's,GA
1117 W Spring St,33.792747999999996,-83.731443,Wendy's,GA
430 S Belair Rd,33.486344,-82.13351,Wendy's,GA
2341 N Columbia St,33.108582,-83.254192,Wendy's,GA
260 Cooper Rd,33.880381,-83.939657,Wendy's,GA
4331 Atlanta Hwy,33.839726,-83.905798,Wendy's,GA
3015 Panola Rd,33.699521999999995,-84.17274,Wendy's,GA
184 Endicott St,42.547923,-70.942014,Burger King,MA
1291 Boston Rd,42.140526,-72.50086999999999,Boston Road Pizza,MA
6134 State Route 14,41.157059000000004,-81.219054,McDonald's,OH
4402 Little Rd,32.679466999999995,-97.195027,Boston Market,TX
15 Highland Ave,41.92023235,-71.35787658,D'Angelo Grilled Sandwiches,MA
2992 Jamacha Rd,32.739923,-116.94215600000001,Burger King,CA
706 Fletcher Pkwy,32.80827,-116.97137,Boston Market,CA
706 Fletcher Pkwy,32.80827,-116.97137,Boston Market,CA
822 N Johnson Ave,32.805945,-116.971542,Burger King,CA
2819 Easton Rd,40.170877000000004,-75.12739300000001,Nino's Pizzarama,PA
8924 Sierra Ave,34.091528000000004,-117.43637,Carl's Jr,CA
18025 Ventura Blvd,34.16469,-118.52474,Carl's Jr,CA
242 N El Camino Real,33.051949,-117.260994,Burger King,CA
9002 Firestone Blvd,33.93527552,-118.1238946,Carl's Jr,CA
9110 Imperial Hwy,33.91684597,-118.1337577,Carl's Jr,CA
962 Garnet Ave,32.797188,-117.2525,Filippi's Pizza Grotto,CA
7011 Barker Cypress Rd,29.880809999999997,-95.683922,Burger King,TX
7011 Barker Cypress Rd,29.880809999999997,-95.683922,Burger King,TX
2180 Contra Costa Blvd,37.946878999999996,-122.060174,Boston Market,CA
3035 Castro Valley Blvd,37.695437,-122.08173500000001,Jack in the Box,CA
4302 Moorpark Ave,37.315903999999996,-121.977843,Round Table Pizza,CA
1751 S Alameda St,33.894566,-118.220228,El Pollo Loco,CA
2244 Otay Lakes Rd,32.646857000000004,-116.967527,Arby's,CA
962 East Ave,39.76117,-121.84218700000001,Burger King,CA
1170 W Branch St,35.1273,-120.598,In-N-Out Burger,CA
73196 Highway 111,33.72118,-116.38791,Copper Oven Artisan Pizza,CA
20900 Roscoe Blvd,34.218957,-118.58903000000001,Carl's Jr,CA
1760 41st Ave,36.975287,-121.96392900000001,McDonald's,CA
401 Las Posas Rd,34.221478000000005,-119.07024299999999,Carl's Jr,CA
2871 Lenwood Rd,34.867566,-117.114747,Del Taco,CA
12690 Ramona Blvd,34.077713,-117.996169,Del Taco,CA
1210 N Hacienda Blvd,34.0422696,-117.94934950000001,Little Caesars Pizza,CA
562 N Main St,37.365314,-118.39508000000001,McDonald's,CA
1310 E Lamar St,32.07128,-84.216974,McDonald's,GA
2009 E Greenville St,34.54701,-82.6319,Burger King,SC
2521 W Commonwealth Ave,34.088183,-118.15143700000002,Carl's Jr,CA
3450 Wrightsboro Rd Ste 2340,33.46734,-82.07989,Sbarro,GA
810 Oak Ave,39.321895,-88.451273,Casey's General Store,IL
701 S Van Buren St,38.983809,-88.161001,Casey's General Store,IL
9175 De Soto Ave,34.23765,-118.58918999999999,Chipotle Mexican Grill,CA
328 N Main St,34.017911,-85.253614,McDonald's,GA
3025 Main St,41.726353,-72.61760799999999,Burger King,CT
2834 Main St,41.720514,-72.614164,Boston Market,CT
605 E Broadway St,37.346447,-85.33736800000001,McDonald's,KY
1602 E Broadway St,37.357213,-85.323654,SUBWAY,KY
1475 Holiday Ln,38.259527,-122.062146,Burger King,CA
1442 Winchester Ave,38.4791,-82.6411,Fat Patty's,KY
12759 Us Route 60,38.3887,-82.7156,Dairy Queen,KY
1439 S US Highway 1,27.4357,-80.32600000000001,Pizza Hut,FL
12915 Cortez Blvd,28.534187,-82.516103,Arby's,FL
11671 Se Federal Hwy,27.06168,-80.13746,McDonald's,FL
8792 Navarre Pkwy,30.403771999999996,-86.85506,Culver's,FL
825 E 49th St,25.867613000000002,-80.266376,Burger King,FL
2750 W 68th St Ste 104,25.882938,-80.33868000000001,Pizza Hut,FL
36172 Hwy 27,28.125757,-81.64043000000001,Dairy Queen,FL
52 Tuscan Way Ste 208,29.961740000000002,-81.49109,Pizza Hut,FL
1232 Providence Blvd,28.8829,-81.2413,KFC,FL
2370 US Highway 331 S,30.687820000000002,-86.12318,McDonald's,FL
1508 US Highway 331 S,30.70032,-86.12317,SONIC Drive-In,FL
